question,answer
未成交的交易指示到期時，交易狀況及結餘會有什麽變化？,"
							於有效日期收市以後，此類交易指示會於「交易狀況」顯示為「已過期指令」，其涉及的「待執行指令所預留現金」會撥回至「買貨可使用結餘」。
						"
在戶口概覽中，證券之「平均成本」是什麼？,"
							「平均成本」是根據本行所知的以加權平均買入價及收費計算，所顯示之金額只供參考之用。
							如閣下持有於2015年2月27日或之前買入的美國證券，有關持貨的加權平均成本會按2015年2月27日之收市價計算。
						"
證券交易服務是否設有交易限額？,"
							是。現時每筆證券交易的交易限額為等值港幣$2,000,000。
						"
我會收到哪些種類的賬戶結單？,"
							如果賬戶內當日有交易紀錄，閣下便會收到日結單。月結單亦會於每月的首七天內寄給閣下。閣下可於月結單上看到閣下在過去一個月內所進行的交易紀錄，以及閣下賬戶內的現金結餘及持有的證券。再者，閣下亦可於網上翻閱閣下的賬戶資料。
						"
我如果想複印我的每月或每日的結單，我可以怎樣做？,"
							閣下可提出要求取得複印的結單。閣下可致電本行的證券服務專線向本行之產品專員指出要求，此服務需額外收費。
						"
我可如何取得進一步協助？,"
							你可親臨中信銀行（國際）分行，或致電與本行客戶服務主任聯絡(香港證券及滬港通服務請致電：2287 6088；美國證券服務請致電：2287 6688)。
						"
我的證券交易指示尚未成盤，為何會收到短訊提示？,"
							為加強證券交易服務之保安，閣下於各地市場每個曆日之首個交易指示將收到短訊提示。
						"
如我在三地市場均有落盤，我是否會收到三個短訊提示？,"
							是。於各市場同一曆日之首個交易指示，均會收到相關短訊提示。
						"
我可以於什麼渠道買賣香港證劵？,"
							你可透過以下渠道買賣香港證劵：
							
								網上理財 
								CITIC流動理財
								自動電話理財證券買賣專線
								專人接聽證券買賣熱線
							
						"
我可選擇什麼交易盤？,"
							你可選擇：
							
								競價限價盤
								增強限價盤
								市價盤
								獲利限價盤
								止蝕限價盤
							
						"
我可落碎股盤嗎？,"
							你只須在「證券交易」版面選擇「香港證券交易」，再進入「沽出碎股」版面，你便可輸入碎股沽盤。請注意，本行不接受碎股買入交易。
						"
什麼是「有效日期」特性？,"
							「有效日期」功能讓你可設定交易盤最長有效期至八個交易日。帶至下一交易日之交易將以競價限價盤之形式於開市前時段處理。如交易已部份成盤、全數成盤、取消或被拒納，指示將不會帶至下一個交易日。
						"
為何輸入的交易被拒並顯示提示訊息「指示價已超過可接受的交易價位」？,"
							本行只接受落盤價格離現價199個價位範圍內的競價限價盤及離現價23個價位範圍內的增強限價盤。超出以上範圍的交易指示將被拒納。
						"
不同股價的最低上落價位是多少？,"
							
								
									
										股價由(HK$)
								  		最低上落價位
									
									
										0.01
										0.001
									
									
										0.25
										0.005
									
									
										0.50
										0.010
									
									
										1.00
										0.010
									
									
										2.00
										0.010
									
									
										5.00
										0.010
									
									
										10.00
										0.020
									
									
										20.00
										0.050
									
									
										100.00
										0.100
									
									
										200.00
										0.200
									
									
										500.00
										0.500
									
									
										1000.00
										1.000
									
									
										2000.00
										2.000
									
									
										5,000.00 至 9,995.00
										5.000
									
								
							
						"
我可如何透過網上理財 / 流動理財處理改盤或取消盤指示？,"
							你只須在「證券交易」版面選擇「香港證券交易」，再進入「交易情況 / 更改交易指示」版面以處理改盤或取消盤指示。請注意，已確定之沽出碎股指示不能作更改或取消。
						"
在網上理財落盤後，我可否透過其他渠道查詢、更改或取消交易指示？,"
							可以。你可選擇跨渠道處理交易指示。例如，你可透過流動理財、自動化電話系統或專人接聽電話交易專線處理各指示。
						"
香港證券交易的交收安排為何？,"
							香港證券交易會按照港交所的交收週期進行。證券及款項的交收會於T+2交易日進行。
						"
在進行「雙櫃台」(人民幣及港幣櫃台)證券買賣時，有什麼須要注意？,"
							買賣「雙櫃台」(人民幣及港幣櫃台)證券時，請注意如發行人只以人民幣分派股息，你必須持有人民幣結算賬戶，方可收取人民幣股息。
						"
在參予買賣納斯達克–美國證券交易所試驗計劃(試驗計劃)之證券時，有什麼須要注意？,"
							按照納斯達克–美國證券交易所試驗計劃(試驗計劃)掛牌買賣的證券是為熟悉投資技巧的投資者而設的。你在買賣該項試驗計劃的證券之前，應先諮詢有關持牌人或註冊人的意見和熟悉該項試驗計劃。你應知悉，按照該項試驗計劃掛牌買賣的證券並非以香港聯合交易所有限公司的主板或創業板作第一或第二上市的證券類別加以監管。
						"
滬港通是什麼？,"
							「滬港證券交易機制」(滬港通)建立一個香港及中國內地的共同市場。滬港通容許投資者利用交易所及結算中心，交易及結算於兩地證券市場的上市證券。滬港通是由香港交易所（港交所）、上海證券交易所（上交所）與中國證券登記結算有限責任公司（中國結算）在中國內地與香港兩地證券市場建立的交易及結算互聯互通機制，旨在實現兩地投資者直接進入對方市場的目標。
							在滬港通項目下，香港聯合交易所有限公司（聯交所）與上交所將實現兩地市場買賣盤相互傳遞及設立相關技術基礎設施，從而讓各自市場的投資者能夠買賣在對方市場上市的指定股本證券。
							中華通—指為互相進入聯交所和上交所市場，由聯交所、上交所、香港結算和中國結算建立的或將要建立的證券交易及結算互聯互通機制。
							港股通—內地合資格投資者可透過滬港通南向交易於上海證券交易所(上交所)登記的內地證券所及證券交易服務公司，向港交所發出交易指示買賣於香港聯合交易上市(港交所)的合資格港股通證券。合資格證券包括恆生綜合大型股指數及恆生綜合中型股指數的成份股，以及所有同時於上交所及港交所上市的證券。
							滬股通—香港及海外投資者可透過滬港通北向交易於港交所登記的本地證券所及證券交易服務公司，向上交所發出交易指示買賣於上交所上市的合資格滬股通證券。滬股通的合資格證券包括上證180指數及上證380指數成份股，以及所有同時於上交所及港交所上市的證券(不包括被實施風險警示及並非以人民幣買賣的證券)。 
						"
我可以於什麼渠道買賣滬股通證券？,"
							你可透過以下渠道買賣滬股通證券：
							
								網上理財 
								CITIC流動理財
								自動電話理財證券買賣專線
								專人接聽證券買賣熱線
							
						"
請問滬股通證券買賣接受什麼指示盤？,"
							滬股通證券買賣一律只接受限價盤。你的限價盤指示會於開盤集合競價時段送出市場。
						"
北向交易的交收安排為何？,"
							與港股的交收安排不同，北向交易會按照上交所A股市場的交收週期進行。證券交收會於交易日（T日）進行，款項交收則會於T+1日進行。
						"
請問我可以於買入滬股通證券當天即時將該證券賣出嗎？另外，我可以將即日賣出證券的款項即時買入其他的滬股通證券嗎？,"
							不可以，北向交易不允許進行即日買賣，你於交易日（T日）買入的滬股通證券只可以於T+1日或之後賣出。另外，因為款項交收會於T+1日進行，你不可以將即日賣出證券的款項即時買入其他滬股通證券。
						"
請問我的滬股通證券買賣指示可以更改或取消嗎？,"
							北向交易不允許更改買賣指示。如欲更改買賣指示，你必須先取消原有未執行的買賣指示，於成功取消後，閣下可重新提交新的買賣指示。
						"
買賣滬股通證券，需要繳付什麼費用？,"
							你需支付第三者費用如經手費、證管費、過戶費、交易印花稅，以及本行費用如經紀佣金。詳情請參閱「投資產品服務收費」。有關費用會以人民幣支付。
						"
滬股通證券會在什麼情況下被暫停買入？,"
							你於下列情況下將不可以買入滬股通證券：
							a)該等證券不再屬於有關指數成份股；
							b)該等證券被實施風險警示；
							c)該等證券相應的H股不再在聯交所掛牌買賣；
							d)每日額度餘額降至零或以下；
							e)總額度餘額少於每日額度。
						"
滬股通證券的每手單位 / 碎股、買賣規模及最低上落價位如何？,"
							所有滬股通證券每手均為100股（必須以整手發出買入指示），僅沽出指示可接納碎股。滬股通證券最低上落價位劃一為人民幣0.01元。每宗單一買賣指示之最高限額為100萬股。
						"
請問我的買入指示有可能會以碎股成交？,"
							你的買入指示的最終成交股數有可能出現碎股。
						"
惡劣天氣情況下，會如何安排？,"
							北向交易在惡劣天氣情況下的交易安排如下：
							
								若上交所通知由於惡劣天氣下一交易日可能暫停A 股交易，聯交所將會相應地通知香港市場。
								假如 8 號（或以上）颱風訊號及 / 黑色暴雨警告在香港市場開市前發出，北向交易將暫停服務。當該訊號停止，北向交易按照現行香港做法恢復交易。（詳情請參閱香港交易所網站：http://www.hkex.com.hk/chi/market/typhoons/tradingarrangement_c.htm）
								假如 8 號（或以上）颱風訊號在香港市場開市後但上海市場開市前發出（9時至9時15分之間），北向交易將暫停服務。
								假如 8 號（或以上）颱風訊號在上海市場開市後才發出，於訊號發出後15分鐘後將停止交易。之後只會接受取消買賣指示直至上交所收市。
							
							
							
								
									
										情況
										北向交易
										香港市場現有安排
									
									
										八號颱風訊號 / 黑色暴雨警告於香港市場開市前發出(即早上9時前)
										不開放
										不開放
									
									
										八號颱風訊號於早上9時至9時15分之間發出
										不開放
										開市前時段後停止交易
									
									
										八號颱風訊號於早上9時至9時15分之間發出（即早上9時15分）
										15分鐘後停止交易，之後只接受取消買賣指示直至上交所收市
										15分鐘後停止交易
									
									
										黑色暴雨警告於香港市場開市後發出
										如常交易
										如常交易
									
									
										八號颱風訊號 / 黑色暴雨警告於中午12時前解除
										兩小時後恢復交易
										兩小時後恢復交易
									
									
										八號颱風訊號 / 黑色暴雨警告於中午12時後解除
										不開放
										不開放
									
								
							
							
						"
我已持有證券交易戶口，可否即時買賣滬股通證券？,"
							你只需為現有的證劵交易戶口設定人民幣結算戶口，即可於下一個工作天買賣滬股通證券。如欲設定證劵交易戶口的結算戶口，請即登入網上理財或親臨分行辦理。
						"
我已持有證券交易戶口，但未設定證券交易戶口的人民幣結算戶口，該怎麼辦？,"
							如欲設定證劵交易戶口的結算戶口，請即登入網上理財或親臨分行辦理。
						"
我可否認購首次公開發售之滬股通證券新股？,"
							不，滬港通並不支援首次公開招股。
						"
哪裡可獲取更多有關滬港通的資訊？,"
							你可透過香港交易所網站的「中國證券市場網頁」查閱更多有關滬港通的資訊，例如投資者資料文件、投資者常見問題、合資格股份、投資額度餘額等等。
							(網址：http://www.hkex.com.hk/chi/csm/chinaConnect.asp?LangCode=tc)買賣上海A股與港股的比較
							
							
								
									
										 
										透過滬港通北向交易買賣上海A股
										於香港買賣港股
									
									
										可買賣證券
										- 上證180指數的成份股- 上證380指數的成份股- 同時在港交所及上交所上市的A股(不包括被實施風險警示及並非以人民幣買賣的證券)
										於港交所上市的所有證券
									
									
										額度
										總額度：人民幣3,000 億元每日額度：人民幣130億元
										沒有額度限制
									
									
										結算貨幣
										人民幣
										港幣
									
									
										每手股數
										每手均為100股
										每手股數按個別證券而定
									
									
										價格限制
										落盤價位不可超過前一日收市價的+/- 10%
										沒有規定
									
									
										最低上落價位
										劃一為人民幣0.01元
										按證券價格由港幣0.001元至5元不等
									
									
										交易時間
										開盤集合競價：09:15 – 09:25早市：09:30 – 11:30午市：13:00 – 15:00
										開市前時段：09:00 – 09:30早市：09:30 – 12:00延續早市：12:00-13:00午市：13:00 – 16:00收市競價交易時段：16:00-16:10
									
									
										交易日
										兩地市場均開放交易且兩地市場的銀行於相應的交收日均開放服務的工作日
										所有港交所交易日
									
									
										交收及結算
										證券交收：T日款項交收：T+1日
										證券及款項交收：T+2日
									
									
										回轉交易(即日鮮)
										不允許，剛於T日買入的證券僅可以於T+1日或之後賣出
										允許
									
									
										收費及稅項
										- 經手費(上交所收取)：成交額的0.00487%- 證管費(中國證監會收取)：成交額的0.002%- 過戶費(0.002%由中國結算收取，0.002%由香港結算收取)：成交額的0.004%- 交易印花稅(國家稅務總局收取)：成交金額的0.1% (賣貨)
										- 交易徵費(香港證監會收取)：成交額的0.0027%- 交易費(港交所收取)：成交額的0.005%- 印花稅(香港特區政府收取)：成交金額的0.1%
									
								
							
							
						"
中信銀行(國際)的美國證券交易服務包括什麼產品和服務？,"
							本行的美國證券交易服務提供美國上市證券的買賣及託管服務，包括在紐約證券交易所及納斯達克證券市場上市之證券。惟本行並不接受任何市值低於5,000萬美元及股價低於0.5美元之證券的買入指示。
						"
我可以於什麼渠道買賣美國證券？,"
							你可透過以下渠道買賣美國證券：
							
								網上理財 
								CITIC流動理財
							
						"
我可以於網上開立戶口買賣美國證券嗎？,"
							現有客戶可於網上銀行開立證券賬戶，只須登入i-banking後於「開立戶口」頁面選擇開立「證券現金戶口」，並親臨分行完成W-8BEN 表格及市場數據展示服務協議即可買賣美國證券。如閣下為全新客戶或尚未開立網上銀行服務，客戶可親臨分行辨理。請注意，本行的證券買賣服務不適用於美國人士。
						"
什麼是W-8BEN表格？它是否需要更新？,"
							W-8BEN 表格是用作向美國國稅局 (Internal Revenue Service) 申報非美國人士身份的文件。此表格是需要每 3 年更新一次。否則，於 W-8BEN 表格過期後所進行之美國證券交易將不會再按非美國人士之標準徵稅。
						"
何時為美國證券市場的交易時間？,"
							
								北半球夏令時段 - (香港時間) 21:30 - 04:00
								北半球冬令時段 - (香港時間) 22:30 - 05:00
							
							北半球夏令時段由每年三月的第二個星期日的凌晨 2am 開始。北半球冬令時段由每年十一月的第一個星期日的凌晨 2am 開始。 閣下可於(香港時間) 19:30至美國證券市場收市前經本行的網上銀行進行交易。
							閣下如有任何問題，可聯絡本行的美國證券服務專線(852) 2287 6688 尋求協助。服務時間(香港時間)：星期一至五全日[上午5時至9時(北半球夏天)及上午6時至9時、下午9時至10時(北半球冬天)及美國公眾假期除外]
						"
我需要多久才可以沽出我的證券及何時可以收到已沽售證券之金額 ？,"
							閣下之證券可於買入後即時沽出。賣貨之金額將於賣貨執行後3日(即交易日後3個工作日)存入閣下之賬戶內。
						"
我可否於香港的公眾假期時買賣美國之證券？,"
							可以，只要美國證券市場是交易日便可。
						"
投資海外的證券是否需要繳稅？,"
							非美國人士買賣美國證券所得之資本收益可豁免繳付任何美國稅項，但所得之股息收入則須繳付30%之預扣稅。上述並非稅項建議，有關稅項問題，請諮詢個別之稅務顧問。
						"
美國證交會收費如何？,"
							美國證交會收費即本行投資產品服務收費表上所指的銷售稅(Sales Tax)，是根據1934年證券交易所法而釐訂，這項費用適用於沽出交易所上市之證券。這項費用為個別收費，與經紀佣金及其他交易徵費不同。美國證券交易委員會將不時重估有關收費。
						"
甚麼是首次公開招股？,"
							「首次公開招股」(IPO)是指一間公司首次向公眾投資者發行新股及將證券在證券交易所上市買賣。
						"
i-banking的網上認購新股服務能提供的服務是甚麼？,"
							i-banking客戶可透過這項服務經網上認購首次發行的新股(黃表申請)。
						"
客戶需符合甚麼資格才可透過i-banking認購新股？,"
							客戶須：
							
								為本行的i-banking客戶(個人客戶)；
								為個人申請者；
								擁有有效之個人名義的證券戶口(黃表申請者)；
								個別公司於首次公開招股或許會接受非香港居民申請，詳情請參閱有關招股書。
							
						"
網上認購新股有什麼步驟？,"
							第一步 
							於決定認購新股前，你應該細閱有關之招股書，才作出投資決定。你可於登入i-banking後，到 ""證券交易"" > ""新股認購""中取得有關之招股資料
							第二步  
							按""網上認購""鍵及閣下欲申請之新股，細閱電子公開招股服務之條款及細則及一般條款，填寫申請表及發出有關之付款指示，以便我們於特定時間從你的指定賬戶扣除認購股款 
							第三步  
							確認你的申請詳情及於網上遞交申請表後，你即獲發參考編號以作記錄 
							第四步  
							請確保你的指定支賬賬戶有足夠款項以便我們於所定的時間過賬，否則有關申請將會自動作廢，亦不作另行通知
						"
是否可以修改或取消網上新股認購的申請？,"
							不可以，申請表一旦獲得接納，即不得修改或取消。
						"
怎樣才知道申請是否已被成功遞交股份過戶登記處？,"
							我們會於所指定的支賬賬戶中扣除申請股份所需之款項後把申請表於正式截止時間前送交股份過戶登記處。如申請表上有任何錯誤或所指定的支賬賬戶未有足夠款項，申請將會自動作廢，並不另行通知。
						"
怎樣取回因認購申請未獲成功分配而退回的認購金額，或因股價調整後而多付之申請金額？,"
							黃表申請者
							退款將會於指定的退款日直接存入客戶的證券戶口內。
							白表申請者
							發行人之股份過戶處將以支票形式把有關之認購金額退回客戶。退款支票將於發行人公佈之退款日期當天，以郵遞方式寄回客戶於網上認購新股服務申請表上所填報之地址。
						"
如認購申請成功地獲得分配，客戶會否收到證券? 客戶將怎樣取得獲分配之股份？,"
							黃表申請者
							如客戶之申請全部或部份獲接納，所獲配發之證券將會直接存入客戶的證券戶口內。
							白表申請者
							如客戶成功地獲得分配股份，發行人之股份過戶處將以客戶之名字登記而發出證券，並於發行人公佈之派發日期內，以郵遞方式把證券寄予客戶於網上認購新股服務申請表上所填報之地址。
						"
EIPO申請的手續費是多少？,"
							有關資料以個別EIPO為準。
						"
可以登入自己的i-banking幫別人申請EIPO嗎？,"
							不可以。
						"
認購新股公司股份涉及的風險,"
							認購高於投資者的需要
							投資人士可能因未必會完全獲取其認購數量而認購多於自己的實際需要,但假如是次招股行動並沒有超額認購，投資者將會獲得所有認購的數量及支付全數應繳款項。 
							市場風險
							當公司掛牌上市後，其股份有機會跌破招股價。 
							業務風險
							決定投資之前，你應瞭解有關公司之業務性質，徹底細讀其招股書、公司財務報告、甚至尋求專業人士的意見，方才作出投資決定。
						"
